symbol,direction,entry,exit,pnl,pnl_pct,reason,opened_at,timestamp,mode
SOLUSDT,long,67.09,69.94,0.3746,4.25,tp,2026-06-12T02:10:58.388000+00:00,2026-06-24T05:25:10.004659+00:00,CANLI
BTCUSDT,long,60129.4,61196.14,0.43,1.77,sl,2026-07-02T07:39:54.473672+00:00,2026-07-02T16:28:32.331588+00:00,CANLI
XRPUSDT,long,1.08,1.123,0.5391,3.98,tp,2026-07-02T21:49:13.795411+00:00,2026-07-03T17:43:41.256841+00:00,CANLI
BNBUSDT,long,569.46,586.0699999999999,0.5112,2.92,tp,2026-07-05T02:59:44.173265+00:00,2026-07-05T12:31:30.474037+00:00,CANLI
BTCUSDT,long,63241.87,62768.7,-0.1356,-0.75,sl,2026-07-06T03:26:23.355820+00:00,2026-07-06T09:22:33.294637+00:00,CANLI
BTCUSDT,long,63332.01,62821.99,-0.1449,-0.81,sl,2026-07-07T02:52:44.011406+00:00,2026-07-07T05:14:37.007706+00:00,CANLI
XRPUSDT,long,1.1105,1.1534000000000002,0.5998,3.86,tp,2026-07-20T15:47:08.449401+00:00,2026-07-21T15:22:02.921366+00:00,CANLI
SOLUSDT,long,77.65,77.53,-0.0421,-0.15,sl,2026-07-20T15:47:05.720772+00:00,2026-07-21T17:47:11.404465+00:00,CANLI
BTCUSDT,long,66330.0,65884.84,-0.1243,-0.67,sl,2026-07-22T04:19:53.554910+00:00,2026-07-22T06:10:50.211087+00:00,CANLI
ETHUSDT,long,1890.05,1882.98,-0.0759,-0.37,sl,2026-07-26T12:36:32.178691+00:00,2026-07-26T13:08:25.619618+00:00,CANLI
ETHUSDT,long,1894.6,1936.54,0.3306,2.21,tp,2026-07-26T14:06:01.589870+00:00,2026-07-26T22:00:40.215839+00:00,CANLI
XRPUSDT,long,1.1055,1.0977,-0.1298,-0.71,sl,2026-07-27T03:14:28.755615+00:00,2026-07-27T14:28:25.496760+00:00,CANLI
BTCUSDT,long,64866.43,64678.0,-0.0623,-0.29,sl,2026-07-27T12:34:51.225615+00:00,2026-07-27T14:30:35.935730+00:00,CANLI
SOLUSDT,long,75.88999999999999,75.25,-0.1519,-0.84,sl,2026-07-27T14:28:29.622841+00:00,2026-07-27T14:41:23.886911+00:00,CANLI
BNBUSDT,long,591.0,587.24,-0.119,-0.64,sl,2026-07-30T15:59:43.131332+00:00,2026-07-31T03:03:28.080925+00:00,CANLI
XRPUSDT,long,1.0834,1.0772,-0.1079,-0.57,sl,2026-07-31T00:35:20.748128+00:00,2026-07-31T07:03:48.501175+00:00,CANLI
BTCUSDT,long,64421.68,64043.64,-0.1077,-0.59,sl,2026-07-31T04:05:35.334112+00:00,2026-07-31T07:16:13.587769+00:00,CANLI
ETHUSDT,long,1869.83,1859.26,-0.1073,-0.57,sl,2026-08-03T16:28:00.852959+00:00,2026-08-03T22:04:37.677582+00:00,CANLI
XRPUSDT,long,1.0736,1.0685,-0.0935,-0.48,sl,2026-08-04T06:41:04.602778+00:00,2026-08-05T01:04:16.822073+00:00,CANLI
